Year,Female,Location,Number.Eggs,Log,Sqrt
2024,FE1,Lupinus perennis,24,1.380211242,4.898979486
2024,FE1,Lupinus polyphyllus,18,1.255272505,4.242640687
2024,FE2,Lupinus perennis,63,1.799340549,7.937253933
2024,FE2,Lupinus polyphyllus,2,0.301029996,1.414213562
2024,FE3,Lupinus perennis,11,1.041392685,3.31662479
2024,FE3,Lupinus polyphyllus,0,0,0
2024,FE6,Lupinus perennis,3,0.477121255,1.732050808
2024,FE6,Lupinus polyphyllus,3,0.477121255,1.732050808
2024,FE9,Lupinus perennis,3,0.477121255,1.732050808
2024,FE9,Lupinus polyphyllus,2,0.301029996,1.414213562
2024,FE10,Lupinus perennis,3,0.477121255,1.732050808
2024,FE10,Lupinus polyphyllus,0,0,0
2024,FE11,Lupinus perennis,0,0,0
2024,FE11,Lupinus polyphyllus,0,0,0
2024,FE14,Lupinus perennis,6,0.77815125,2.449489743
2024,FE14,Lupinus polyphyllus,0,0,0
2024,FE16,Lupinus perennis,3,0.477121255,1.732050808
2024,FE16,Lupinus polyphyllus,0,0,0
2024,FE17,Lupinus perennis,0,0,0
2024,FE17,Lupinus polyphyllus,0,0,0
2024,FE18,Lupinus perennis,1,0,1
2024,FE18,Lupinus polyphyllus,0,0,0
2024,FE21,Lupinus perennis,4,0.602059991,2
2024,FE21,Lupinus polyphyllus,0,0,0
2024,FE22,Lupinus perennis,0,0,0
2024,FE22,Lupinus polyphyllus,0,0,0
2024,FE23,Lupinus perennis,0,0,0
2024,FE23,Lupinus polyphyllus,0,0,0
2024,FE24,Lupinus perennis,2,0.301029996,1.414213562
2024,FE24,Lupinus polyphyllus,0,0,0
2024,FE26,Lupinus perennis,1,0,1
2024,FE26,Lupinus polyphyllus,0,0,0
2024,FE27,Lupinus perennis,1,0,1
2024,FE27,Lupinus polyphyllus,0,0,0
2024,FE28,Lupinus perennis,0,0,0
2024,FE28,Lupinus polyphyllus,0,0,0
2024,FE30,Lupinus perennis,4,0.602059991,2
2024,FE30,Lupinus polyphyllus,0,0,0
2024,FE31,Lupinus perennis,7,0.84509804,2.645751311
2024,FE31,Lupinus polyphyllus,4,0.602059991,2
2025,FE1C14,Lupinus perennis,3,0.477121255,1.732050808
2025,FE1C14,Lupinus polyphyllus,3,0.477121255,1.732050808
2025,FE1C15,Lupinus perennis,0,0,0
2025,FE1C15,Lupinus polyphyllus,0,0,0
2025,FE2C13,Lupinus perennis,0,0,0
2025,FE2C13,Lupinus polyphyllus,0,0,0
2025,FE2C19,Lupinus perennis,12,1.079181246,3.464101615
2025,FE2C19,Lupinus polyphyllus,1,0,1
2025,FE2C24,Lupinus perennis,0,0,0
2025,FE2C24,Lupinus polyphyllus,0,0,0
2025,FE6C3,Lupinus perennis,0,0,0
2025,FE6C3,Lupinus polyphyllus,0,0,0
2025,FE1C3,Lupinus perennis,18,1.255272505,4.242640687
2025,FE1C3,Lupinus polyphyllus,6,0.77815125,2.449489743
